match_id,competition_id,season_id,competition_name,season_name,country_name,competition_gender,match_date,kick_off,home_team,away_team,home_score,away_score,stage,stadium,referee,event_source_url
3888704,43,269,FIFA World Cup,1958,International,male,1958-06-24,18:00:00.000,Brazil,France,5,2,Semi-finals,Friends Arena,Mervyn Griffiths,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/3888704.json
3888705,43,269,FIFA World Cup,1958,International,male,1958-06-29,17:00:00.000,Brazil,Sweden,5,2,Final,Friends Arena,Maurice Guigue,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/3888705.json
3888854,43,270,FIFA World Cup,1962,International,male,1962-05-30,18:00:00.000,Brazil,Mexico,2,0,Group Stage,Estadio Sausalito ,,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/3888854.json
3888699,43,272,FIFA World Cup,1970,International,male,1970-06-03,22:00:00.000,Brazil,Czechoslovakia,4,1,Group Stage,Estadio Jalisco,Ramón Ivanoes Barreto Ruiz,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/3888699.json
3888700,43,272,FIFA World Cup,1970,International,male,1970-06-07,18:00:00.000,Brazil,England,1,0,Group Stage,Estadio Jalisco,Abraham Klein,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/3888700.json
3889217,43,272,FIFA World Cup,1970,International,male,1970-06-09,22:00:00.000,Brazil,Romania,3,2,Group Stage,Estadio Jalisco,Ferdinand Marschall,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/3889217.json
3889218,43,272,FIFA World Cup,1970,International,male,1970-06-14,17:00:00.000,Brazil,Peru,4,2,Quarter-finals,Estadio Jalisco,Vital Georges Gilbert Loraux,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/3889218.json
3888701,43,272,FIFA World Cup,1970,International,male,1970-06-17,22:00:00.000,Brazil,Uruguay,3,1,Semi-finals,Estadio Jalisco,José Maria Ortíz De Mendibil,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/3888701.json
3888702,43,272,FIFA World Cup,1970,International,male,1970-06-21,21:00:00.000,Brazil,Italy,4,1,Final,Estadio Azteca,Rudi Glöckner,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/3888702.json
3888716,43,51,FIFA World Cup,1974,International,male,1974-06-19,21:30:00.000,Netherlands,Sweden,0,0,1st Group Stage,Signal-Iduna-Park,Werner Winsemann,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/3888716.json
3750180,43,51,FIFA World Cup,1974,International,male,1974-06-22,16:30:00.000,German DR,Germany,1,0,1st Group Stage,Volksparkstadion,Ramón Ivanoes Barreto Ruiz,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/3750180.json
3888717,43,51,FIFA World Cup,1974,International,male,1974-06-26,18:30:00.000,Netherlands,Argentina,4,0,1st Group Stage,Parkstadion Obenende,Bobby Davidson,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/3888717.json
3888718,43,51,FIFA World Cup,1974,International,male,1974-06-30,15:00:00.000,German DR,Netherlands,0,2,1st Group Stage,Parkstadion Obenende,Rudolf Scheurer,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/3888718.json
3888719,43,51,FIFA World Cup,1974,International,male,1974-07-03,18:30:00.000,Netherlands,Brazil,2,0,1st Group Stage,Signal-Iduna-Park,Kurt Tschenscher,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/3888719.json
3888720,43,51,FIFA World Cup,1974,International,male,1974-07-07,18:00:00.000,Netherlands,Germany,1,2,Final,Olympiastadion München ,Jack Taylor,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/3888720.json
3888787,1470,274,FIFA U20 World Cup,1979,International,male,1979-09-07,19:00:00.000,Argentina U20,Soviet Union U20,3,1,Final,Japan National Stadium (Tōkyō (Tokyo)),José Roberto Ramiz Wright,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/3888787.json
3750191,43,54,FIFA World Cup,1986,International,male,1986-06-22,19:00:00.000,Argentina,England,2,1,Quarter-finals,Estadio Azteca,Ali Bin Nasser,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/3750191.json
3889148,43,54,FIFA World Cup,1986,International,male,1986-06-25,21:00:00.000,Argentina,Belgium,2,0,Semi-finals,Estadio Azteca,Antonio Márquez Ramírez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/3889148.json
3889149,43,54,FIFA World Cup,1986,International,male,1986-06-29,17:00:00.000,Argentina,Germany,3,2,Semi-finals,Estadio Azteca,,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/3889149.json
3793185,43,55,FIFA World Cup,1990,International,male,1990-06-24,17:00:00.000,Brazil,Argentina,0,1,Round of 16,Stadio delle Alpi,Joël Quiniou,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/3793185.json
7525,43,3,FIFA World Cup,2018,International,male,2018-06-14,15:00:00.000,Russia,Saudi Arabia,5,0,Group Stage,Stadion Luzhniki,Néstor Fabián Pitana,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7525.json
7576,43,3,FIFA World Cup,2018,International,male,2018-06-15,18:00:00.000,Portugal,Spain,3,3,Group Stage,Olimpiyskiy Stadion Fisht,Gianluca Rocchi,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7576.json
7577,43,3,FIFA World Cup,2018,International,male,2018-06-15,15:00:00.000,Morocco,Iran,0,1,Group Stage,Saint-Petersburg Stadium ( Gazprom Arena ),Cüneyt Çakιr,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7577.json
7578,43,3,FIFA World Cup,2018,International,male,2018-06-15,12:00:00.000,Egypt,Uruguay,0,1,Group Stage,Ekaterinburg Arena,Björn Kuipers,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7578.json
7529,43,3,FIFA World Cup,2018,International,male,2018-06-16,19:00:00.000,Croatia,Nigeria,2,0,Group Stage,Rostec Arena,Sandro Ricci,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7529.json
7530,43,3,FIFA World Cup,2018,International,male,2018-06-16,10:00:00.000,France,Australia,2,1,Group Stage,Ak Bars Arena,Andrés Cunha,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7530.json
7531,43,3,FIFA World Cup,2018,International,male,2018-06-16,13:00:00.000,Argentina,Iceland,1,1,Group Stage,Otkritie Bank Arena,Szymon Marciniak,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7531.json
7532,43,3,FIFA World Cup,2018,International,male,2018-06-16,16:00:00.000,Peru,Denmark,0,1,Group Stage,Mordovia Arena,Bakary Papa Gassama,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7532.json
7533,43,3,FIFA World Cup,2018,International,male,2018-06-17,18:00:00.000,Brazil,Switzerland,1,1,Group Stage,Rostov Arena,César Arturo Ramos Palazuelos,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7533.json
7534,43,3,FIFA World Cup,2018,International,male,2018-06-17,15:00:00.000,Germany,Mexico,0,1,Group Stage,Stadion Luzhniki,Alireza Faghani,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7534.json
7535,43,3,FIFA World Cup,2018,International,male,2018-06-17,12:00:00.000,Costa Rica,Serbia,0,1,Group Stage,Solidarnost Arena,Malang Diedhiou,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7535.json
7536,43,3,FIFA World Cup,2018,International,male,2018-06-18,15:00:00.000,Belgium,Panama,3,0,Group Stage,Olimpiyskiy Stadion Fisht,Janny Sikazwe,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7536.json
7537,43,3,FIFA World Cup,2018,International,male,2018-06-18,18:00:00.000,Tunisia,England,1,2,Group Stage,Volgograd Arena,Wilmar Alexander Roldán Pérez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7537.json
7538,43,3,FIFA World Cup,2018,International,male,2018-06-18,12:00:00.000,Sweden,South Korea,1,0,Group Stage,Stadion Nizhny Novgorod (Nizhniy Novgorod),Joel Antonio Aguilar Chicas,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7538.json
7539,43,3,FIFA World Cup,2018,International,male,2018-06-19,15:00:00.000,Poland,Senegal,1,2,Group Stage,Otkritie Bank Arena,Nawaf Abdulla Ghayyath Shukralla,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7539.json
7540,43,3,FIFA World Cup,2018,International,male,2018-06-19,18:00:00.000,Russia,Egypt,3,1,Group Stage,Saint-Petersburg Stadium ( Gazprom Arena ),Enrique Cáceres,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7540.json
7541,43,3,FIFA World Cup,2018,International,male,2018-06-19,12:00:00.000,Colombia,Japan,1,2,Group Stage,Mordovia Arena,Damir Skomina,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7541.json
7542,43,3,FIFA World Cup,2018,International,male,2018-06-20,12:00:00.000,Portugal,Morocco,1,0,Group Stage,Stadion Luzhniki,Mark Geiger,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7542.json
7543,43,3,FIFA World Cup,2018,International,male,2018-06-20,18:00:00.000,Iran,Spain,0,1,Group Stage,Ak Bars Arena,Andrés Cunha,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7543.json
7544,43,3,FIFA World Cup,2018,International,male,2018-06-20,15:00:00.000,Uruguay,Saudi Arabia,1,0,Group Stage,Rostov Arena,Clément Turpin,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7544.json
7545,43,3,FIFA World Cup,2018,International,male,2018-06-21,18:00:00.000,Argentina,Croatia,0,3,Group Stage,Stadion Nizhny Novgorod (Nizhniy Novgorod),Ravshan Irmatov,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7545.json
7546,43,3,FIFA World Cup,2018,International,male,2018-06-21,15:00:00.000,France,Peru,1,0,Group Stage,Ekaterinburg Arena,Mohamed Abdulla Hassan Mohd,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7546.json
7547,43,3,FIFA World Cup,2018,International,male,2018-06-21,12:00:00.000,Denmark,Australia,1,1,Group Stage,Solidarnost Arena,Antonio Miguel Mateu Lahoz,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7547.json
7548,43,3,FIFA World Cup,2018,International,male,2018-06-22,12:00:00.000,Brazil,Costa Rica,2,0,Group Stage,Saint-Petersburg Stadium ( Gazprom Arena ),Björn Kuipers,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7548.json
7549,43,3,FIFA World Cup,2018,International,male,2018-06-22,15:00:00.000,Nigeria,Iceland,2,0,Group Stage,Volgograd Arena,Matthew Conger,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7549.json
7550,43,3,FIFA World Cup,2018,International,male,2018-06-22,18:00:00.000,Serbia,Switzerland,1,2,Group Stage,Rostec Arena,Felix Brych,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7550.json
7551,43,3,FIFA World Cup,2018,International,male,2018-06-23,18:00:00.000,Germany,Sweden,2,1,Group Stage,Olimpiyskiy Stadion Fisht,Szymon Marciniak,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7551.json
7552,43,3,FIFA World Cup,2018,International,male,2018-06-23,12:00:00.000,Belgium,Tunisia,5,2,Group Stage,Otkritie Bank Arena,Jair Marrufo,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7552.json
7553,43,3,FIFA World Cup,2018,International,male,2018-06-23,15:00:00.000,South Korea,Mexico,1,2,Group Stage,Rostov Arena,Milorad Mažić,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7553.json
7554,43,3,FIFA World Cup,2018,International,male,2018-06-24,12:00:00.000,England,Panama,6,1,Group Stage,Stadion Nizhny Novgorod (Nizhniy Novgorod),Ghead Grisha,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7554.json
7555,43,3,FIFA World Cup,2018,International,male,2018-06-24,18:00:00.000,Poland,Colombia,0,3,Group Stage,Ak Bars Arena,César Arturo Ramos Palazuelos,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7555.json
7556,43,3,FIFA World Cup,2018,International,male,2018-06-24,15:00:00.000,Japan,Senegal,2,2,Group Stage,Ekaterinburg Arena,Gianluca Rocchi,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7556.json
7557,43,3,FIFA World Cup,2018,International,male,2018-06-25,18:00:00.000,Iran,Portugal,1,1,Group Stage,Mordovia Arena,Enrique Cáceres,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7557.json
7558,43,3,FIFA World Cup,2018,International,male,2018-06-25,14:00:00.000,Uruguay,Russia,3,0,Group Stage,Solidarnost Arena,Malang Diedhiou,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7558.json
7559,43,3,FIFA World Cup,2018,International,male,2018-06-25,14:00:00.000,Saudi Arabia,Egypt,2,1,Group Stage,Volgograd Arena,Wilmar Alexander Roldán Pérez,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7559.json
7560,43,3,FIFA World Cup,2018,International,male,2018-06-25,18:00:00.000,Spain,Morocco,2,2,Group Stage,Rostec Arena,Ravshan Irmatov,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7560.json
7561,43,3,FIFA World Cup,2018,International,male,2018-06-26,18:00:00.000,Iceland,Croatia,1,2,Group Stage,Rostov Arena,Antonio Miguel Mateu Lahoz,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7561.json
7562,43,3,FIFA World Cup,2018,International,male,2018-06-26,14:00:00.000,Australia,Peru,0,2,Group Stage,Olimpiyskiy Stadion Fisht,Sergey Karasev,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7562.json
7563,43,3,FIFA World Cup,2018,International,male,2018-06-26,14:00:00.000,Denmark,France,0,0,Group Stage,Stadion Luzhniki,Sandro Ricci,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7563.json
7564,43,3,FIFA World Cup,2018,International,male,2018-06-26,18:00:00.000,Nigeria,Argentina,1,2,Group Stage,Saint-Petersburg Stadium ( Gazprom Arena ),Cüneyt Çakιr,https://raw.githubusercontent.com/statsbomb/open-data/master/data/events/7564.json
