match_id,competition_id,season_id,competition_name,season_name,match_date,team,opponent,home_away,goals,own_goals,shots,passes,dribbles,fouls,yellow_cards,red_cards,corners,free_kicks,goal_kicks,throw_ins,penalty_shots,offsides
3888704,43,269,FIFA World Cup,1958,1958-06-24,Brazil,France,home,5,0,41,474,65,18,0,0,8,6,7,20,0,0
3888704,43,269,FIFA World Cup,1958,1958-06-24,France,Brazil,away,2,0,15,390,48,9,0,0,5,17,14,19,0,0
3888705,43,269,FIFA World Cup,1958,1958-06-29,Brazil,Sweden,home,5,0,26,508,63,13,0,0,13,13,3,27,0,0
3888705,43,269,FIFA World Cup,1958,1958-06-29,Sweden,Brazil,away,2,0,6,422,28,15,0,0,8,15,12,21,0,0
3888854,43,270,FIFA World Cup,1962,1962-05-30,Brazil,Mexico,home,2,0,34,509,59,10,0,0,7,17,10,13,0,0
3888854,43,270,FIFA World Cup,1962,1962-05-30,Mexico,Brazil,away,0,0,9,432,27,21,1,0,2,9,22,24,0,0
3888699,43,272,FIFA World Cup,1970,1970-06-03,Brazil,Czechoslovakia,home,4,0,29,487,37,17,2,0,3,10,20,12,0,0
3888699,43,272,FIFA World Cup,1970,1970-06-03,Czechoslovakia,Brazil,away,1,0,32,433,18,12,1,0,6,19,14,22,0,0
3888700,43,272,FIFA World Cup,1970,1970-06-07,Brazil,England,home,1,0,20,491,38,22,0,0,6,16,13,15,0,0
3888700,43,272,FIFA World Cup,1970,1970-06-07,England,Brazil,away,0,0,21,476,24,17,1,0,4,15,11,15,0,0
3889217,43,272,FIFA World Cup,1970,1970-06-09,Brazil,Romania,home,3,0,22,479,44,12,0,0,8,24,11,10,0,0
3889217,43,272,FIFA World Cup,1970,1970-06-09,Romania,Brazil,away,2,0,18,381,26,24,2,0,4,13,8,10,0,0
3889218,43,272,FIFA World Cup,1970,1970-06-14,Brazil,Peru,home,4,0,30,502,28,19,0,0,8,12,10,13,0,0
3889218,43,272,FIFA World Cup,1970,1970-06-14,Peru,Brazil,away,2,0,19,471,26,15,0,0,6,17,10,15,0,0
3888701,43,272,FIFA World Cup,1970,1970-06-17,Brazil,Uruguay,home,3,0,23,478,37,22,1,0,5,21,7,12,0,0
3888701,43,272,FIFA World Cup,1970,1970-06-17,Uruguay,Brazil,away,1,0,18,359,19,21,3,0,2,18,12,16,0,2
